Year,DJIA Avg. Adj,YoY Growth,annotations,Nominal GDP (million of Dollars),Real GDP (millions of 2017 dollars),GDP Deflator (index 2017=100),Population,Nominal GDP per capita (current dollars),Real GDP per capita (year 2017 dollars)
1967,8023.34,-2.25%,,"859,959","4,904,900",17.53,"198,752,000","4,326.79","24,678.49"
1968,7914.89,-1.35%,,"940,651","5,145,900",18.28,"200,745,000","4,685.80","25,634.01"
1969,7270.68,-8.14%,,"1,017,615","5,306,600",19.18,"202,736,000","5,019.41","26,174.93"
1970,5914.34,-18.65%,,"1,073,303","5,316,400",20.19,"205,089,000","5,233.35","25,922.40"
1971,6657.34,12.56%,,"1,164,850","5,491,400",21.21,"207,692,000","5,608.55","26,440.11"
1972,6925.90,4.03%,,"1,279,110","5,780,000",22.13,"209,924,000","6,093.21","27,533.77"
1973,6341.57,-8.44%,,"1,425,376","6,106,400",23.34,"211,939,000","6,725.41","28,812.06"
1974,4691.85,-26.01%,,"1,545,243","6,073,400",25.43,"213,898,000","7,224.20","28,393.91"
1975,4547.24,-3.08%,,"1,684,904","6,060,900",27.8,"215,981,000","7,801.17","28,062.19"
1976,5222.24,14.84%,,"1,873,412","6,387,400",29.33,"218,086,000","8,590.24","29,288.45"
1977,4496.76,-13.89%,,"2,081,826","6,682,800",31.15,"220,289,000","9,450.43","30,336.51"
1978,3837.44,-14.66%,,"2,351,599","7,052,700",33.34,"222,629,000","10,562.86","31,679.16"
1979,3543.93,-7.65%,,"2,627,333","7,276,000",36.1,"225,106,000","11,671.54","32,322.55"
1980,3295.23,-7.02%,,"2,857,307","7,257,300",39.38,"227,726,000","12,547.13","31,868.56"
1981,3127.29,-5.10%,,"3,207,041","7,441,500",43.09,"230,008,000","13,943.17","32,353.22"
1982,2792.93,-10.69%,,"3,343,789","7,307,300",45.76,"232,218,000","14,399.35","31,467.41"
1983,3642.90,30.43%,,"3,634,038","7,642,300",47.55,"234,333,000","15,508.01","32,612.99"
1984,3456.27,-5.12%,,"4,037,613","8,195,300",49.26,"236,394,000","17,080.01","34,667.97"
1985,3760.62,8.81%,,"4,338,979","8,537,000",50.82,"238,506,000","18,192.33","35,793.65"
1986,4985.06,32.56%,,"4,579,631","8,832,600",51.85,"240,683,000","19,027.65","36,698.06"
1987,6108.88,22.54%,"Oct 19th, 1987 : Black Monday 

Followed the first financial crisis of the modern global era, taking place on Oct. 19, 1987. The DJIA lost over $500 billion after dropping 22.6%, the largest one-day stock market decline in history. Preceding the event, the federal government disclosed a larger-than-expected trade deficit and the dollar fell in value, undermining investor confidence, and leading to volatility in the markets. Before the U.S. crash, markets in and around Asia plunged followed by New Zealand, Australia, Hong Kong, Singapore, and Mexico.","4,855,215","9,137,700",53.13,"242,843,000","19,993.23","37,628.01"
1988,5309.69,-13.08%,,"5,236,438","9,519,400",55,"245,061,000","21,367.90","38,845.02"
1989,6168.58,16.18%,"Oct. 13th 1989: Friday the 13th Crash.

The Friday the 13th mini-crash occurred on Oct. 13, 1989. That Friday, a stock market crash resulted in a 6.91% drop in the Dow. Prior to this, a leveraged buyout (LBO) deal for UAL, United Airlines' parent company, fell through. As the crash transpired mere minutes after this announcement, it was quickly identified as the cause of the crash.","5,641,580","9,869,000",57.16,"247,387,000","22,804.67","39,892.96"
1990,6246.63,1.27%,"1990's Recession:

The early 1990s recession began in July 1990 and ended in March 1991. Comparatively short-lived and relatively mild, it contributed to George H.W. Bush's re-election defeat in 1992. Following another recession just three years prior, the collapse of the savings-and-loan industry in the mid-1980s, and the U.S. Federal Reserve's interest rate increase in the late 1980s, this recession was sparked by Iraq's invasion of Kuwait in the summer of 1990.","5,963,144","10,055,100",59.31,"250,181,000","23,835.32","40,191.30"
1991,6552.74,4.90%,,"6,158,129","10,044,200",61.3,"253,530,000","24,289.55","39,617.40"
1992,7132.32,8.84%,,"6,520,327","10,398,000",62.7,"256,922,000","25,378.62","40,471.43"
1993,7432.87,4.21%,,"6,858,559","10,684,200",64.19,"260,282,000","26,350.49","41,048.56"
1994,7800.99,4.95%,,"7,287,236","11,114,600",65.56,"263,455,000","27,660.27","42,187.85"
1995,8985.66,15.19%,,"7,639,749","11,413,000",66.93,"266,588,000","28,657.51","42,811.38"
1996,11146.43,24.05%,,"8,073,122","11,843,600",68.16,"269,714,000","29,932.16","43,911.70"
1997,14137.86,26.84%,,"8,577,552","12,370,300",69.34,"272,958,000","31,424.44","45,319.43"
1998,16133.77,14.12%,,"9,062,817","12,924,900",70.1,"276,154,000","32,817.98","46,803.23"
1999,19169.55,18.82%,,"9,631,172","13,543,800",71.08,"279,328,000","34,479.79","48,487.08"
2000,18985.19,-0.96%,"Dec 2000: The DotCom Bubble

The dotcom bubble formed as a result of a surge of investments in the Internet and technology stocks. The start-up hype that drove prices peaked in March 2000. By December 2000, the Nasdaq 100 index lost more than half of its peak value. The index wouldn't notch a new high until 2017.Massive amounts of venture capital were dumped into tech and Internet startups, while investors purchased shares in these companies hoping for success. The crash wiped out $5 trillion U.S. in technology-firm market value between March and October 2002","10,250,952","14,096,000",72.71,"282,398,000","36,299.66","49,915.37"
2001,17564.03,-7.49%,"Economic Effects of the Sept. 11 Attacks: The terrorist attacks on Sept. 11, 2001, occurred as the world economy was already experiencing its first synchronized global recession in a quarter-century. Stock market values in the U.K., Germany, France, Canada, and Japan generally move in tandem with those in the U.S. and they fell hard in the immediate aftermath of 9/11","10,581,929","14,230,700",74.39,"285,225,000","37,100.29","49,892.89"
2002,15605.04,-11.15%,"Beginning in March of 2002, a downturn in stock prices was observed across the U.S., Canada, Asia, and Europe. After recovering from the economic impact of the Sept. 11 attacks, indices started steadily sliding downward, leading to dramatic declines in July and September, with the latter month experiencing values below those reached in the immediate aftermath of 9/11","10,929,108","14,472,700",75.5,"287,955,000","37,954.22","50,260.28"
2003,14914.67,-4.42%,,"11,456,450","14,877,300",77.01,"290,626,000","39,419.91","51,190.53"
2004,16639.23,11.56%,,"12,217,196","15,449,800",79.07,"293,262,000","41,659.66","52,682.58"
2005,16453.90,-1.11%,,"13,039,197","15,988,000",81.54,"295,993,000","44,052.38","54,014.79"
2006,17244.56,4.81%,,"13,815,583","16,433,100",84.07,"298,818,000","46,234.11","54,993.68"
2007,19370.20,12.33%,,"14,474,228","16,762,400",86.35,"301,696,000","47,976.20","55,560.56"
2008,15912.43,-17.85%,"2008 Recession

On Sept. 29, 2008, the stock market fell 777.68 points in intraday trading. It was at the time the biggest point drop in history. The immediate cause of the market crash was Congress' initial refusal to pass the bank bailout bill that would stabilize the American financial system after a series of historic shocks.
July 11, 2008: Subprime mortgage lender IndyMac collapses, signaling the start of a wave of mortgage defaults by homebuyers.
Sept. 7, 2008: The government seizes control of Freddie Mac and Fannie Mae, which guaranteed millions of bad loans.
Sept. 15, 2008: Lehman Brothers goes bankrupt under the weight of $613 billion in debt, much of it due to investments in subprime mortgages.
Sept. 16, 2008: The government bails out insurance company AIG by buying 80% of it. It does not bail out Lehman Brothers.","14,769,862","16,781,500",87.98,"304,543,000","48,498.45","55,103.88"
2009,12620.71,-20.69%,,"14,478,067","16,349,100",88.56,"307,240,000","47,122.99","53,212.80"
2010,14907.83,18.12%,"2010 Flash Crash

On May 6, 2010, the S&P 500, the Nasdaq 100, and the Russell 2000 collapsed and rebounded within a 36-minute timespan. Approximately $1 trillion in market capitalization was wiped out on the DJIA, though it recovered most of its decline by the end of the trading day.
In a joint study released by the CFTC and SEC in September 2010, they concluded that the flash crash was the result of a convergence of several factors, primarily a large volume of E-mini S&P 500 futures trading, illegal manipulative trading of many E-minis, and electronic liquidity providers pulling back on quotes once stocks began to plummet.","15,048,971","16,789,800",89.62,"309,839,000","48,570.29","54,188.79"
2011,16197.71,8.65%,"On Aug. 8, 2011, the U.S. and global stock markets fell as a weakening U.S. economy and a widening debt crisis in Europe dampened investor confidence. Before this event, the U.S. received a credit downgrade from Standard & Poor's (S&P) for the first time in history amid an earlier debt ceiling impasse. Although the political gridlock was ultimately resolved, S&P saw the agreement as falling short of what was needed to repair the nation's finances.","15,599,732","17,052,400",91.47,"312,295,000","49,951.91","54,603.50"
2012,17206.70,6.23%,,"16,253,970","17,442,800",93.18,"314,725,000","51,644.99","55,422.35"
2013,19632.09,14.10%,,"16,880,683","17,812,200",94.79,"317,099,000","53,234.74","56,172.36"
2014,21594.50,10.00%,,"17,608,138","18,261,700",96.44,"319,601,000","55,094.13","57,139.06"
2015,22609.36,4.70%,"The 2015 to 2016 stock market selloff was a series of global sell-offs that took place over a one-year time frame beginning in June 2015. In the U.S., the DJIA fell 530.94, or approximately 3.1%, on Aug. 21, 2015.
The Wall Street Journal. ""Dow Plunges 531 Points in Global Selloff.""


The market volatility initially began in China as investors were sold shares globally amid a slew of tumultuous economic circumstances, including the end of quantitative easing in the U.S., a fall in petroleum prices, the Greek debt default, and the Brexit vote.","18,295,019","18,799,600",97.28,"322,113,000","56,796.90","58,363.37"
2016,22759.44,0.66%,,"18,804,913","19,141,700",98.21,"324,609,000","57,930.97","58,968.48"
2017,27037.09,18.80%,,"19,612,102","19,612,100",100,"326,860,000","60,001.54","60,001.53"
2018,30412.06,12.48%,"2018 Cryptocurrency Crash: During the 2018 cryptocurrency crash, also known as the Bitcoin Crash or the Great Crypto Crash, most cryptocurrencies were sold and lost significant value, with Bitcoin dropping by 15%. The value of Bitcoin ultimately fell by approximately 65% from January 2018 to February 2018 and would not fully recover from this event until 2020.","20,656,516","20,193,900",102.29,"328,794,000","62,825.10","61,418.09"
2019,31424.94,3.33%,,"21,521,395","20,692,100",104.01,"330,513,000","65,115.12","62,606.01"
2020,31657.24,0.74%,"The 2020 coronavirus stock market crash is the most recent U.S. crash, which occurred due to panic selling following the onset of the COVID-19 pandemic. On March 16, the drop in stock prices was so sudden and dramatic that a Level 1 market-wide circuit breaker was issued at 9:30 a.m. From Feb. 12 to March 23, the DJIA lost 37% of its value and NYSE trading was suspended several times.

The stock market rebounded and on Aug. 18, the S&P 500 was hitting record highs. On Nov. 24, 2020, the DJIA crossed 30,000 for the first time in history.","21,322,950","20,234,100",105.41,"331,800,000","64,266.79","60,985.03"
2021,38262.62,20.87%,,"23,594,031","21,407,700",110.22,"332,367,000","70,991.30","64,412.92"
2022,34251.55,-10.48%,,"25,744,108","21,822,000",118,"333,568,000","77,171.74","65,414.65"
2023,34069.88,-0.53%,,"27,360,900","22,376,900",122.27,"335,208,000","81,623.65","66,755.27"
